Date,Open,High,Low,Close,Adj Close,Volume
2023-06-01,68.699997,68.800003,67.599998,67.949997,67.949997,57846081
2023-06-02,70.000000,73.199997,69.500000,71.150002,71.150002,170769117
2023-06-05,71.300003,72.150002,69.599998,71.250000,71.250000,84075166
2023-06-06,71.550003,73.150002,71.349998,72.349998,72.349998,64762959
2023-06-07,72.500000,75.000000,72.400002,74.500000,74.500000,67871844
2023-06-08,74.800003,76.349998,73.699997,75.800003,75.800003,88006842
2023-06-09,77.050003,78.000000,75.849998,77.599998,77.599998,77276802
2023-06-12,78.300003,80.300003,76.500000,77.949997,77.949997,105388190
2023-06-13,77.900002,78.800003,76.699997,78.300003,78.300003,81857154
2023-06-14,78.300003,78.449997,73.250000,74.099998,74.099998,83186945
2023-06-15,74.500000,76.099998,73.099998,75.099998,75.099998,93321136
2023-06-16,75.550003,76.000000,73.900002,74.449997,74.449997,45783616
2023-06-19,74.599998,77.000000,74.099998,75.849998,75.849998,62744981
2023-06-20,76.000000,76.400002,74.800003,75.849998,75.849998,30591595
2023-06-21,76.099998,77.349998,74.650002,75.099998,75.099998,31896510
2023-06-22,75.500000,75.849998,73.650002,74.349998,74.349998,40419764
2023-06-23,73.900002,75.300003,72.550003,74.150002,74.150002,51775728
2023-06-26,74.150002,75.250000,73.800003,74.849998,74.849998,30411621
2023-06-27,75.150002,76.949997,74.849998,76.150002,76.150002,59078137
2023-06-28,77.000000,77.000000,74.599998,74.900002,74.900002,30574521
2023-06-30,75.000000,75.449997,74.000000,75.050003,75.050003,49245376
2023-07-03,75.449997,77.250000,74.550003,75.650002,75.650002,49243205
2023-07-04,75.800003,76.199997,74.500000,74.800003,74.800003,24150257
2023-07-05,74.849998,75.099998,73.699997,74.050003,74.050003,25459694
2023-07-06,74.449997,75.250000,74.300003,74.750000,74.750000,24467816
2023-07-07,74.800003,74.900002,73.000000,73.250000,73.250000,26599778
2023-07-10,73.449997,75.550003,73.400002,74.800003,74.800003,33812208
2023-07-11,75.050003,77.000000,74.900002,76.800003,76.800003,42946892
2023-07-12,77.500000,78.800003,77.150002,77.500000,77.500000,64212629
2023-07-13,77.849998,84.500000,77.650002,82.199997,82.199997,192605002
2023-07-14,84.000000,85.250000,81.650002,82.550003,82.550003,91571303
2023-07-17,83.199997,83.400002,79.500000,80.150002,80.150002,43377345
2023-07-18,80.650002,80.650002,76.500000,78.699997,78.699997,71215775
2023-07-19,79.000000,80.349998,77.250000,77.650002,77.650002,42130927
2023-07-20,78.050003,79.099998,77.300003,77.599998,77.599998,40495235
2023-07-21,77.849998,80.699997,77.400002,80.300003,80.300003,74991213
2023-07-24,80.800003,82.449997,80.550003,81.300003,81.300003,64291285
2023-07-25,81.300003,83.199997,79.300003,82.650002,82.650002,72459586
2023-07-26,83.099998,84.599998,82.500000,83.349998,83.349998,59291226
2023-07-27,83.349998,86.099998,82.800003,84.949997,84.949997,77249384
