Date,Open,High,Low,Close,Adj Close,Volume
2023-09-12,132.800003,133.149994,128.649994,129.000000,129.000000,38065283
2023-09-13,129.600006,130.500000,127.699997,129.550003,129.550003,23371459
2023-09-14,131.000000,134.199997,130.800003,131.699997,131.699997,58800620
2023-09-15,132.600006,133.300003,129.850006,131.949997,131.949997,85058495
2023-09-18,135.000000,135.000000,130.050003,130.449997,130.449997,62420823
2023-09-20,130.449997,131.800003,128.000000,128.300003,128.300003,43627379
2023-09-21,128.300003,129.250000,127.199997,127.800003,127.800003,29826091
2023-09-22,127.150002,128.699997,125.500000,126.750000,126.750000,34059194
2023-09-25,127.300003,128.300003,126.099998,127.400002,127.400002,23466981
2023-09-26,129.000000,130.550003,128.399994,128.899994,128.899994,48936598
2023-09-27,128.750000,128.750000,126.699997,128.149994,128.149994,33277329
2023-09-28,128.350006,129.300003,126.300003,126.800003,126.800003,29982233
2023-09-29,128.199997,129.550003,127.550003,128.899994,128.899994,28406435
2023-10-03,129.000000,129.100006,127.250000,128.000000,128.000000,18613557
2023-10-04,127.000000,127.099998,124.500000,125.300003,125.300003,33272725
2023-10-05,125.900002,126.150002,124.550003,125.250000,125.250000,27063441
2023-10-06,126.500000,127.000000,125.099998,125.900002,125.900002,21928671
2023-10-09,124.800003,124.900002,122.599998,123.849998,123.849998,21457836
2023-10-10,124.699997,125.900002,123.750000,125.300003,125.300003,28745957
2023-10-11,126.000000,126.300003,124.699997,124.949997,124.949997,24455932
2023-10-12,125.349998,126.900002,125.099998,125.900002,125.900002,19361688
2023-10-13,125.000000,125.750000,124.000000,125.050003,125.050003,26912800
2023-10-16,125.099998,127.250000,124.949997,127.000000,127.000000,23868700
2023-10-17,127.900002,128.550003,127.000000,127.400002,127.400002,24241710
2023-10-18,127.849998,128.699997,126.599998,127.099998,127.099998,20926079
2023-10-19,125.500000,126.500000,124.349998,126.000000,126.000000,30941319
2023-10-20,125.000000,125.750000,122.699997,123.099998,123.099998,30746140
2023-10-23,123.349998,123.400002,119.699997,120.000000,120.000000,30699479
2023-10-25,121.199997,122.800003,120.750000,121.349998,121.349998,27346103
2023-10-26,120.849998,120.900002,118.900002,119.900002,119.900002,36298907
2023-10-27,120.500000,121.800003,119.500000,119.900002,119.900002,28424007
2023-10-30,121.050003,121.250000,118.949997,119.150002,119.150002,18753217
2023-10-31,120.000000,120.150002,118.400002,118.750000,118.750000,22319950
2023-11-01,119.000000,119.099998,116.000000,116.599998,116.599998,24717941
2023-11-02,114.599998,118.550003,114.599998,118.099998,118.099998,72538804
2023-11-03,118.199997,118.599998,117.099998,117.300003,117.300003,31747230
2023-11-06,118.500000,119.650002,117.500000,119.400002,119.400002,27883152
2023-11-07,119.300003,120.199997,118.400002,119.650002,119.650002,25818033
2023-11-08,119.750000,120.500000,118.550003,119.050003,119.050003,22552386
2023-11-09,119.199997,120.500000,118.849998,119.650002,119.650002,22979112
2023-11-10,119.500000,120.449997,118.800003,120.050003,120.050003,23584510
2023-11-13,120.849998,121.250000,119.900002,121.000000,121.000000,17951775
2023-11-15,121.699997,124.400002,121.500000,124.050003,124.050003,38344393
2023-11-16,124.000000,125.250000,123.000000,124.699997,124.699997,30836413
2023-11-17,124.699997,125.750000,124.300003,125.199997,125.199997,23319439
2023-11-20,125.050003,125.650002,124.050003,124.349998,124.349998,18780290
2023-11-21,125.050003,126.400002,124.949997,126.250000,126.250000,29643312
2023-11-22,126.400002,126.900002,125.500000,126.099998,126.099998,19588063
2023-11-23,126.349998,127.400002,125.900002,126.699997,126.699997,30736851
2023-11-24,126.699997,127.000000,125.550003,125.949997,125.949997,14719450
2023-11-28,127.000000,127.000000,126.000000,126.849998,126.849998,18377843
2023-11-29,127.150002,128.149994,126.699997,127.750000,127.750000,23092165
2023-11-30,127.800003,128.850006,126.500000,127.900002,127.900002,40165104
2023-12-01,128.899994,130.300003,128.050003,130.000000,130.000000,31192397
2023-12-04,132.199997,132.350006,130.399994,131.000000,131.000000,41230928
2023-12-05,131.000000,132.449997,130.000000,131.600006,131.600006,35192149
2023-12-06,132.500000,133.399994,130.800003,131.850006,131.850006,40753593
2023-12-07,131.699997,132.199997,129.800003,130.000000,130.000000,34686333
2023-12-08,130.149994,131.399994,127.949997,129.199997,129.199997,34393711
2023-12-11,129.850006,130.500000,128.750000,130.050003,130.050003,24038059
2023-12-12,130.050003,132.149994,129.699997,130.100006,130.100006,30696410
2023-12-13,130.550003,131.500000,129.149994,131.399994,131.399994,22767972
2023-12-14,132.300003,133.250000,131.500000,132.000000,132.000000,43372143
2023-12-15,133.399994,136.750000,133.000000,136.449997,136.449997,77377446
2023-12-18,136.850006,137.600006,135.100006,136.600006,136.600006,38461877
2023-12-19,136.649994,137.600006,134.800003,135.399994,135.399994,27726431
2023-12-20,135.899994,136.149994,128.750000,129.750000,129.750000,39495961
2023-12-21,128.699997,131.449997,127.849998,131.000000,131.000000,34914399
2023-12-22,132.399994,134.750000,131.750000,133.550003,133.550003,37357334
2023-12-26,134.699997,136.100006,134.449997,135.199997,135.199997,25936447
2023-12-27,135.850006,138.899994,135.500000,137.199997,137.199997,48101400
2023-12-28,138.149994,138.750000,136.850006,138.149994,138.149994,34661176
2023-12-29,138.600006,141.250000,137.149994,139.600006,139.600006,49202910
